gid,funderid,fundername,awardid,value,popdate,fundagency,fundsubagency,fundoffice,psc,naics,ruei,rcage,rparuei
6707,https://openalex.org/F4320337355,National Institute of Allergy and Infectious Diseases,R21/R33 AI125781,,,,,,,,,,
6708,https://openalex.org/F4320337355,National Institute of Allergy and Infectious Diseases,R21 AI133393,,,,,,,,,,
6709,https://openalex.org/F4320308960,United States - Israel Binational Science Foundation,2018033,,,,,,,,,,
6710,https://openalex.org/F4320306078,U.S. Department of Defense,W81XWH-19-2-0011,,,,,,,,,,
6711,https://openalex.org/F4320337611,Eunice Kennedy Shriver National Institute of Child Health and Human Development,R01 HD099397,,,,,,,,,,
6714,https://openalex.org/F4320333591,Multidisciplinary University Research Initiative,FA9550-20-1-0323,,,,,,,,,,
6715,https://openalex.org/F4320332360,Office of Energy Efficiency and Renewable Energy,DE-EE0009163,,,,,,,,,,
6717,https://openalex.org/F4320307102,Intel Corporation,INTEL-CAFE,,,,,,,,,,
6718,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,HR00112290102 (subcontract No. PO70745),,,,,,,,,,
6719,https://openalex.org/F4320306076,National Science Foundation,"CNS-2154118, IIS-2027689, ITE-2137724, ITE-2230692, CNS-2239879",,,,,,,,,,
6720,https://openalex.org/F4320332359,Office of Science,ERKCZ55,,,,,,,,,,
6664,https://openalex.org/F4320306076,National Science Foundation,PHY-2011905,,,,,,,,,,
6712,https://openalex.org/F4320306076,National Science Foundation,PHY-2110225,,,,,,,,,,
6716,https://openalex.org/F4320337480,Basic Energy Sciences,DE- SC0021230,,,,,,,,,,
6682,https://openalex.org/F4320337345,Office of Naval Research,N00014-21-1-2571,,,,,,,,,,
6685,https://openalex.org/F4320338281,Army Research Office,W911NF- 2210106,,,,,,,,,,
6235,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,HR00111920025,,,,,,,,,,
6673,https://openalex.org/F4320332447,U.S. Army,W81XWH2110235,,,,,,,,,,
6713,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-19-1-0089,,,,,,,,,,
7216,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-21-1-0058,,,,,,,,,,
1822,https://openalex.org/F4320306076,National Science Foundation,CBET-1846426,,,,,,,,,,
