oid,name,eid,amount,year,country,herddod,herddoe,herdhhs,herdnasa,herdnsf,herdusda,herdfedother,herdstate,herdinst,herdbusi,herdnonprof,herdallother
5,Fordham University,217314,"$5,431.00",2022,USA,"$356,000.00","$65,000.00","$2,651,000.00",$0.00,"$836,000.00","$44,000.00","$904,000.00",$0.00,"$13,005,000.00","$27,000,000.00","$1,523,000,000.00","$1,021,000,000.00"
20,New York Medical College,197052,"$6,485.00",2022,USA,$0.00,"$314,000.00","$8,756,000.00",$0.00,$0.00,$0.00,$0.00,"$985,000.00","$813,000.00","$2,947,000,000.00","$1,980,000,000.00","$666,000,000.00"
30,St. John's University,143061,"$1,651.00",2022,USA,"$54,000.00",$0.00,"$1,790,000.00",$0.00,"$612,000.00",$0.00,$0.00,$0.00,"$326,000.00","$195,000,000.00","$387,000,000.00","$228,000,000.00"
75,Fayetteville State University,197104,$845.00,2022,USA,"$213,000.00",$0.00,"$535,000.00",$0.00,"$919,000.00",$0.00,$0.00,"$479,000.00","$898,000.00","$116,000,000.00","$46,000,000.00",$0.00
10,City University of New York,196138,"$32,776.00",2022,USA,$0.00,$0.00,$0.00,$0.00,"$798,000.00",$0.00,$0.00,"$1,528,000.00","$223,000.00","$99,000,000.00","$252,000,000.00",$0.00
70,Davidson College,218543,"$1,873.00",2022,USA,"$6,000.00","$13,000.00","$581,000.00",$0.00,"$763,000.00","$7,000.00",$0.00,"$4,000.00","$702,000.00","$31,000,000.00","$542,000,000.00","$139,000,000.00"
23,Pratt Institute,220072,$275.00,2022,USA,$0.00,$0.00,$0.00,"$14,000.00","$153,000.00","$24,000.00","$37,000.00","$995,000.00","$5,000.00",$0.00,"$1,097,000,000.00",$0.00
18,Manhattan University,217500,$492.00,2022,USA,"$61,000.00",$0.00,"$251,000.00",$0.00,"$128,000.00",$0.00,$0.00,"$316,000.00","$367,000.00","$518,000,000.00",$0.00,$0.00
62,SUNY Schenectady County Community College,216127,$784.00,2022,USA,$0.00,$0.00,"$5,000.00","$29,000.00","$716,000.00",$0.00,$0.00,$0.00,"$596,000.00","$2,000,000.00","$107,000,000.00","$24,000,000.00"
9,Dominican College of Blauvelt,119499,$375.00,2022,USA,,,,,,,,,,,,
13,Iona College,120002,$375.00,2022,USA,,,,,,,,,,,,
19,Marist College,222284,$370.00,2022,USA,,,,,,,,,,,,
21,New York Institute of Technology,161860,"$1,421.00",2022,USA,,,,,,,,,,,,
24,New York Structural Biology Center,122425,"$6,560.00",2022,USA,,,,,,,,,,,,
28,Rockefeller University,221251,"$75,287.00",2022,USA,,,,,,,,,,,,
34,Siena College,114120,$451.00,2022,USA,,,,,,,,,,,,
35,SUNY Geneseo,216150,$507.00,2022,USA,,,,,,,,,,,,
33,"University at Buffalo, State University of New York",212139,$250.00,2022,USA,,,,,,,,,,,,
37,SUNY Old Westbury,216469,$220.00,2022,USA,,,,,,,,,,,,
39,SUNY College of Environmental Science and Forestry,216275,$460.00,2022,USA,,,,,,,,,,,,
36,State University of New York at Oswego,211608,"$2,134.00",2022,USA,,,,,,,,,,,,
40,SUNY Polytechnic Institute,200087,"$3,682.00",2022,USA,,,,,,,,,,,,
44,Suffolk County Community College,216415,$375.00,2022,USA,,,,,,,,,,,,
43,Purchase College,216035,$888.00,2022,USA,,,,,,,,,,,,
45,New York State Unified Court System,122424,"$53,564.00",2022,USA,,,,,,,,,,,,
49,"University at Buffalo, State University of New York",212139,"$121,610.00",2022,USA,,,,,,,,,,,,
47,SUNY Upstate Medical University,199551,"$17,707.00",2022,USA,,,,,,,,,,,,
48,Stony Brook University,216217,"$107,707.00",2022,USA,,,,,,,,,,,,
