"AID","name","orcid","hindex","i10index","_affilliation","_afilldaterange","_afillEID","flagged","openalexid"
"120434","Matthew Brahlek","https://orcid.org/0000-0003-2900-0648",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5045707035"
"120435","Kim Kisslinger","https://orcid.org/0000-0002-6528-7044",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5054131257"
"120436","Kai Du","https://orcid.org/0000-0002-4112-0995",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5064377805"
"120437","Myung‐Geun Han","https://orcid.org/0000-0002-3736-3281",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5024468416"
"120438","Yimei Zhu","https://orcid.org/0000-0002-1638-7217",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5100671232"
"120439","Weida Wu","https://orcid.org/0000-0003-1691-6091",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5024026506"
"120440","Sang‐Wook Cheong","https://orcid.org/0000-0001-9905-6175",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5078094020"
"120441","Seongshik Oh",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5101067341"
"120442","Xiaoqing Tian","https://orcid.org/0000-0002-4482-0268",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5082085229"
"120443","Arzoo Hassan","https://orcid.org/0000-0001-5593-0473",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5034432098"
"120444","Yong Wang","https://orcid.org/0000-0003-3259-9372",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5100424540"
"120445","Qing‐Feng Sun","https://orcid.org/0000-0002-5512-9608",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5044736875"
"120446","X. J. Wang","https://orcid.org/0009-0007-6658-1484",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5019530737"
"120447","Tariq Altalhi","https://orcid.org/0000-0002-5470-8579",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5001151503"
