"EID","name","namenative","rorid","city","_types","_aliases","wikiurl","establishedyear","geonamesid","countrycode","countryname","grid","_wikidataid","_childror","_parentror","_relatedror","_latlong","status","_acronyms","_links","_predror","_succror","_isni","flagged","openalexid","flatparent","openalexfid","_childid","_parentid","_relatedid"
"157803","Defense Information School",NULL,"https://ror.org/04t5yz624","Fort Meade","{FED-DOD}","{""Army Information School""}","https://en.wikipedia.org/wiki/Defense_Information_School",1946,7257909,"US","United States","grid.468779.3",NULL,"{}","{https://ror.org/0447fe631}","{}","{39.10815,-76.74323}","active","{DINFOS}","{http://www.dinfos.dma.mil/}","{}","{}","{""0000 0001 2297 3899""}",NULL,"https://openalex.org/I2801768934","https://ror.org/0447fe631",NULL,NULL,"{https://openalex.org/I1330347796}",NULL
"129342","Defense Intelligence Agency",NULL,"https://ror.org/025nqct78","Washington","{FED-DOD}","{""""}","https://en.wikipedia.org/wiki/Defense_Intelligence_Agency",1961,4140963,"US","United States","grid.431361.2",NULL,"{}","{https://ror.org/0447fe631}","{}","{38.89511,-77.03637}","active","{""""}","{http://www.dia.mil/}","{}","{}","{""0000 0004 0377 7608""}",NULL,"https://openalex.org/I1295271775","https://ror.org/0447fe631",NULL,NULL,"{https://openalex.org/I1330347796}",NULL
"224520","Military Health System",NULL,"https://ror.org/03b7pda13","Washington","{FED-DOD}","{""Office of the Assistant Secretary of Defense for Health Affairs""}","https://en.wikipedia.org/wiki/Military_Health_System",NULL,4140963,"US","United States","grid.462586.b",NULL,"{https://ror.org/03df8gj37,https://ror.org/009szpe27}","{https://ror.org/0447fe631}","{}","{38.89511,-77.03637}","active","{MHS}","{https://www.health.mil}","{}","{}","{""""}",NULL,"https://openalex.org/I2800386880","https://ror.org/0447fe631",NULL,"{https://openalex.org/I2800250139,https://openalex.org/I4210091091}","{https://openalex.org/I1330347796}",NULL
"121749","Defense Advanced Research Projects Agency",NULL,"https://ror.org/02caytj08","Arlington","{FED-DOD}","{""Advanced Research Projects Agency""}","https://en.wikipedia.org/wiki/DARPA",1958,4744709,"US","United States","grid.421816.8",NULL,"{}","{https://ror.org/00q4sx826}","{}","{38.88101,-77.10428}","active","{ARPA,"" DARPA""}","{http://www.darpa.mil/}","{}","{}","{""0000 0000 9580 5207""}",NULL,"https://openalex.org/I1280581677","https://ror.org/00q4sx82",NULL,NULL,"{https://openalex.org/I1296703163}",NULL
"197243","Defense Security Cooperation Agency",NULL,"https://ror.org/049zppa02","Washington","{FED-DOD}","{""Defense Security Assistance Agency""}","https://en.wikipedia.org/wiki/Defense_Security_Cooperation_Agency",1961,4140963,"US","United States","grid.473588.5",NULL,"{}","{https://ror.org/00q4sx826,https://ror.org/0447fe631}","{}","{38.89511,-77.03637}","active","{DSCA}","{http://www.dsca.mil/}","{}","{}","{""0000 0004 0404 8183""}",NULL,"https://openalex.org/I2799548816","https://ror.org/0447fe631",NULL,NULL,"{https://openalex.org/I1296703163,https://openalex.org/I1330347796}",NULL
"231361","United States Space Command",NULL,"https://ror.org/0123ggt98",NULL,"{FED-DOD}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/I4405253758",NULL,NULL,"{https://openalex.org/I862801819}","{https://openalex.org/I1330347796}",NULL
"224605","United States Army Corps of Engineers",NULL,"https://ror.org/05w4e8v21","Washington","{FED-DOD}","{""""}","https://en.wikipedia.org/wiki/United_States_Army_Corps_of_Engineers",1775,4140963,"US","United States","grid.431335.3",NULL,"{https://ror.org/027mhn368}","{https://ror.org/035w1gb98}","{}","{38.89511,-77.03637}","active","{CoE,"" USACE""}","{http://www.usace.army.mil/}","{}","{}","{""0000 0004 0582 4666""}",NULL,"https://openalex.org/I1306490931","https://ror.org/035w1gb9",NULL,"{https://openalex.org/I87303767}","{https://openalex.org/I1304082316}",NULL
"196222","Landstuhl Regional Medical Center",NULL,"https://ror.org/05rpr6785","Landstuhl","{FED-DOD}","{""2nd General Hospital""}","https://en.wikipedia.org/wiki/Landstuhl_Regional_Medical_Center",1953,2881477,"DE","Germany","grid.415784.b",NULL,"{}","{}","{}","{49.41306,7.57021}","active","{LRMC}","{https://landstuhl.tricare.mil}","{}","{}","{""0000 0004 0464 1526""}",NULL,"https://openalex.org/I1297440294",NULL,NULL,NULL,"{https://openalex.org/I106965489}",NULL
"211692","Strategic Environmental Research and Development Program",NULL,"https://ror.org/00ew61678","Washington","{FED-DOD}","{""""}",NULL,1990,4140963,"US","United States",NULL,NULL,"{}","{https://ror.org/0447fe631}","{}","{38.89511,-77.03637}","active","{SERDP}","{https://serdp-estcp.mil}","{}","{}","{""0000 0000 9967 6377""}",NULL,"https://openalex.org/I4392738298","https://ror.org/0447fe631",NULL,NULL,"{https://openalex.org/I1330347796}",NULL
"197170","National Security Agency",NULL,"https://ror.org/0047bvr32","Fort Meade","{FED-DOD}","{""""}","https://en.wikipedia.org/wiki/National_Security_Agency",1952,7257909,"US","United States","grid.482831.4",NULL,"{}","{https://ror.org/0447fe631}","{}","{39.10815,-76.74323}","active","{NSA}","{https://www.nsa.gov/}","{}","{}","{""0000 0001 2185 2745""}",NULL,"https://openalex.org/I130440993","https://ror.org/0447fe631",NULL,NULL,"{https://openalex.org/I1330347796}",NULL
